Date,Open,High,Low,Close,Volume,Adj Close
2017-04-11,27.030001,27.74,27.02,27.74,142400,27.74
2017-04-10,26.959999,27.450001,26.959999,27.09,78300,27.09
2017-04-07,26.219999,27.10,26.059999,26.860001,164700,26.860001
2017-04-06,26.280001,26.48,26.08,26.32,124700,26.32
2017-04-05,26.49,26.610001,26.26,26.32,77700,26.32
2017-04-04,26.82,26.82,26.290001,26.41,74200,26.41
2017-04-03,27.040001,27.129999,26.719999,26.76,69300,26.76
2017-03-31,27.00,27.219999,26.950001,27.120001,108300,27.120001
2017-03-30,27.08,27.299999,26.85,27.040001,78300,27.040001
2017-03-29,26.90,27.200001,26.73,27.08,77300,27.08
2017-03-28,26.450001,26.959999,26.280001,26.93,45300,26.93
2017-03-27,26.709999,26.75,26.379999,26.60,78400,26.60
2017-03-24,27.09,27.33,26.74,26.82,117200,26.82
2017-03-23,26.60,27.440001,26.60,27.059999,144800,27.059999
2017-03-22,26.48,26.74,26.41,26.60,63400,26.60
2017-03-21,27.110001,27.26,26.469999,26.540001,90200,26.540001
2017-03-20,27.16,27.190001,26.860001,27.049999,36900,27.049999
2017-03-17,26.700001,27.15,26.629999,27.059999,92700,27.059999
2017-03-16,26.49,26.66,26.459999,26.629999,44500,26.629999
2017-03-15,26.370001,26.67,26.360001,26.620001,51800,26.620001
2017-03-14,26.370001,26.50,26.18,26.309999,77400,26.309999
2017-03-13,26.469999,26.620001,26.02,26.559999,43300,26.559999
2017-03-10,26.700001,26.92,26.40,26.49,86500,26.49
2017-03-09,26.17,27.120001,26.07,26.32,98900,26.32
2017-03-08,25.99,26.10,25.77,26.01,63400,26.01
2017-03-07,25.700001,25.879999,25.549999,25.84,45600,25.84
2017-03-06,25.68,25.889999,25.440001,25.83,42600,25.83
2017-03-03,25.780001,26.07,25.459999,25.780001,70400,25.780001
2017-03-02,25.83,25.92,25.66,25.77,40800,25.77
2017-03-01,26.01,26.379999,25.860001,25.90,55900,25.90
2017-02-28,26.42,26.42,25.57,25.77,124000,25.77
2017-02-27,26.52,26.59,26.299999,26.41,134900,26.41
2017-02-24,26.540001,26.790001,26.540001,26.549999,70200,26.549999
2017-02-23,27.129999,27.200001,26.639999,26.76,43400,26.76
2017-02-22,27.15,27.41,26.83,26.99,27200,26.99
2017-02-21,26.65,27.299999,26.65,27.26,79000,27.26
2017-02-17,26.60,26.799999,26.50,26.52,68800,26.52
2017-02-16,26.360001,27.98,26.360001,26.82,401400,26.82
2017-02-15,27.40,27.82,27.26,27.67,161000,27.67
2017-02-14,26.65,28.280001,26.65,27.50,333800,27.50
2017-02-13,26.799999,26.950001,26.26,26.60,87200,26.60
2017-02-10,26.540001,26.790001,26.360001,26.60,43900,26.60
2017-02-09,26.41,26.629999,26.290001,26.360001,48600,26.360001
2017-02-08,26.360001,26.51,26.15,26.40,53200,26.35
2017-02-07,26.65,26.889999,26.360001,26.469999,44200,26.419867
